Snap SubfindID redshift Mstar SFR IsCentral SubhaloMass SubhaloGrNr Mbh Mbhdot
40 0 1.4955 1.925776e+11 14.5572 1 2.842861e+13 0 1.003591e+09 0.007335
40 1 1.4955 7.529214e+10 48.1859 0 1.185632e+13 0 2.418303e+08 0.165864
40 2 1.4955 1.151362e+11 15.5792 0 3.056120e+12 0 2.400120e+08 0.000618
40 3 1.4955 4.183575e+10 0.2919 0 1.313253e+12 0 3.684533e+08 0.000624
40 4 1.4955 6.980452e+10 0.2895 0 1.110208e+12 0 4.870982e+08 0.002307
40 5 1.4955 4.719210e+10 0.7840 0 9.129593e+11 0 2.801629e+08 0.001030
40 6 1.4955 2.109963e+10 18.4422 0 8.564726e+11 0 7.403028e+07 0.041797
40 7 1.4955 3.807765e+10 1.1157 0 8.665777e+11 0 2.926608e+08 0.001223
40 8 1.4955 6.380243e+10 0.0545 0 6.244188e+11 0 4.305889e+08 0.000155
40 9 1.4955 1.618799e+10 9.3372 0 6.758350e+11 0 6.496545e+07 0.015801
40 10 1.4955 2.210860e+10 16.0946 0 6.214243e+11 0 5.758768e+07 0.050244
40 11 1.4955 1.857788e+10 5.9269 0 4.916071e+11 0 5.012977e+07 0.011821
40 12 1.4955 3.161119e+10 23.3575 0 4.609900e+11 0 1.320176e+08 0.050592
40 13 1.4955 1.729083e+10 7.8999 0 4.301764e+11 0 4.233965e+07 0.012650
40 14 1.4955 4.882432e+10 0.0000 0 2.569041e+11 0 5.027903e+08 0.000018
40 15 1.4955 2.054731e+10 5.0145 0 4.188494e+11 0 1.757759e+08 0.039747
40 16 1.4955 1.996948e+10 21.6085 0 2.790903e+11 0 9.754182e+07 0.068271
40 17 1.4955 2.559127e+10 10.0736 0 1.767250e+11 0 1.584999e+08 0.071266
40 18 1.4955 1.492567e+10 5.0340 0 2.720635e+11 0 5.222716e+07 0.155347
40 19 1.4955 1.314536e+09 1.0897 0 2.798067e+11 0 4.540326e+06 0.005021
40 20 1.4955 2.627913e+10 0.0000 0 1.487117e+11 0 3.560297e+08 0.000036
40 21 1.4955 3.996210e+09 1.1877 0 2.638504e+11 0 1.691301e+07 0.007819
40 22 1.4955 5.627530e+09 1.9599 0 2.376322e+11 0 2.355240e+07 0.017732
40 24 1.4955 1.049364e+10 2.2185 0 1.326748e+11 0 4.466023e+07 0.008503
40 25 1.4955 1.642947e+09 2.1597 0 1.755587e+11 0 4.473293e+06 0.003772
40 26 1.4955 1.496665e+10 9.7079 0 9.604364e+10 0 3.976634e+07 0.165114
40 27 1.4955 2.432788e+10 0.2697 0 5.174910e+10 0 1.219217e+06 0.000120
40 28 1.4955 1.277173e+10 2.6083 0 1.042936e+11 0 2.823084e+07 0.051274
40 29 1.4955 1.739258e+10 9.9051 0 6.577628e+10 0 1.633871e+08 0.107982
40 30 1.4955 1.551583e+10 0.0000 0 6.685209e+10 0 8.881460e+07 0.000053
40 31 1.4955 9.305573e+09 4.1980 0 7.121888e+10 0 2.442320e+07 0.048338
40 32 1.4955 2.413146e+09 7.4618 0 1.260997e+11 0 3.324702e+06 0.008358
40 33 1.4955 1.218296e+09 0.5112 0 1.163154e+11 0 3.920128e+06 0.002908
40 34 1.4955 1.353107e+09 0.9348 0 9.329629e+10 0 1.706150e+06 0.000587
40 35 1.4955 7.262579e+09 2.4689 0 5.517765e+10 0 3.554192e+07 0.009102
40 36 1.4955 1.026559e+09 0.8227 0 9.079833e+10 0 2.392348e+06 0.001929
40 38 1.4955 1.005760e+10 0.0000 0 2.795533e+10 0 0.000000e+00 0.000000
40 39 1.4955 2.258673e+09 0.1776 0 7.636886e+10 0 8.721140e+06 0.002215
40 40 1.4955 4.435327e+09 1.1773 0 5.435486e+10 0 1.647037e+07 0.007952
40 41 1.4955 1.002050e+09 0.6292 0 6.228367e+10 0 2.340796e+06 0.000967
40 42 1.4955 2.339260e+09 0.2522 0 5.656583e+10 0 9.615920e+06 0.010325
40 43 1.4955 1.435620e+09 0.6436 0 5.460359e+10 0 3.070101e+06 0.002398
40 44 1.4955 2.402772e+09 1.2212 0 5.550025e+10 0 4.833316e+06 0.010071
40 48 1.4955 5.460374e+09 0.0000 0 3.274084e+10 0 3.280080e+07 0.000000
40 49 1.4955 2.465245e+09 0.0939 0 5.342994e+10 0 3.092602e+06 0.000545
40 52 1.4955 3.452934e+09 0.3115 0 3.948311e+10 0 8.515268e+06 0.008622
40 53 1.4955 6.941270e+09 16.8808 0 1.042020e+10 0 0.000000e+00 0.000000
40 54 1.4955 3.550200e+09 0.1936 0 3.607277e+10 0 8.584838e+06 0.004366
40 55 1.4955 6.779180e+09 4.5349 0 1.009411e+10 0 0.000000e+00 0.000000
40 56 1.4955 4.882017e+09 7.8171 0 1.026470e+10 0 0.000000e+00 0.000000
40 60 1.4955 1.428880e+09 0.1042 0 3.571171e+10 0 1.484801e+06 0.000197
40 61 1.4955 3.686111e+09 6.4959 0 7.994802e+09 0 0.000000e+00 0.000000
40 64 1.4955 4.978244e+09 0.0000 0 5.988494e+09 0 0.000000e+00 0.000000
40 67 1.4955 3.369788e+09 2.0002 0 6.734439e+09 0 0.000000e+00 0.000000
40 68 1.4955 2.500645e+09 10.8147 0 7.550751e+09 0 0.000000e+00 0.000000
40 72 1.4955 1.847830e+09 0.3271 0 1.868456e+10 0 0.000000e+00 0.000000
40 87 1.4955 2.619500e+09 0.0000 0 4.351020e+09 0 0.000000e+00 0.000000
40 88 1.4955 1.899855e+09 4.2252 0 6.703514e+09 0 0.000000e+00 0.000000
40 89 1.4955 2.255783e+09 6.4477 0 4.299844e+09 0 0.000000e+00 0.000000
40 91 1.4955 1.908372e+09 0.0456 0 8.560741e+09 0 0.000000e+00 0.000000
40 94 1.4955 2.468574e+09 1.1301 0 3.862755e+09 0 0.000000e+00 0.000000
40 98 1.4955 2.059442e+09 0.8197 0 3.578413e+09 0 0.000000e+00 0.000000
40 100 1.4955 1.951705e+09 5.8717 0 3.758363e+09 0 0.000000e+00 0.000000
40 106 1.4955 1.923849e+09 0.0000 0 2.691133e+09 0 0.000000e+00 0.000000
40 108 1.4955 1.479721e+09 5.8193 0 3.329249e+09 0 0.000000e+00 0.000000
40 113 1.4955 1.962819e+09 0.0000 0 2.357990e+09 0 0.000000e+00 0.000000
40 134 1.4955 1.391695e+09 0.0000 0 1.710560e+09 0 0.000000e+00 0.000000
40 140 1.4955 1.076885e+09 0.4140 0 1.848416e+09 0 0.000000e+00 0.000000
40 143 1.4955 1.267349e+09 0.0621 0 1.711358e+09 0 0.000000e+00 0.000000
40 145 1.4955 1.328246e+09 0.0000 0 1.582254e+09 0 0.000000e+00 0.000000
40 165 1.4955 1.072527e+09 0.0000 0 1.302484e+09 0 0.000000e+00 0.000000
40 2584 1.4955 5.745628e+11 12.0595 1 5.327772e+13 1 3.180181e+09 0.029065
40 2585 1.4955 2.176184e+11 6.2326 0 2.840340e+12 1 1.424951e+09 0.004899
40 2586 1.4955 6.461395e+10 0.4507 0 2.993629e+12 1 4.990852e+08 0.005712
40 2587 1.4955 7.282951e+10 0.0377 0 6.195747e+11 1 4.103178e+08 0.004499
40 2588 1.4955 3.852918e+10 0.6609 0 8.429530e+11 1 2.290164e+08 0.003697
40 2589 1.4955 1.426255e+10 10.2484 0 6.234071e+11 1 5.022313e+07 0.026567
40 2590 1.4955 2.736413e+10 7.8401 0 3.483899e+11 1 8.382327e+07 0.039529
40 2591 1.4955 2.132263e+10 5.7346 0 2.148478e+11 1 9.476739e+07 0.068140
40 2592 1.4955 3.802186e+10 0.0000 0 1.127327e+11 1 2.669674e+08 0.000017
40 2593 1.4955 7.021220e+09 5.0156 0 2.548177e+11 1 1.778752e+07 0.025429
40 2594 1.4955 2.066695e+10 8.4682 0 1.786055e+11 1 1.076837e+08 0.050707
40 2595 1.4955 2.669215e+10 0.0000 0 6.731450e+10 1 0.000000e+00 0.000000
40 2596 1.4955 1.926090e+10 0.0221 0 7.478660e+10 1 0.000000e+00 0.000000
40 2597 1.4955 1.690754e+10 0.8632 0 4.112465e+10 1 7.687167e+07 0.033681
40 2598 1.4955 1.779348e+10 0.0000 0 2.906661e+10 1 0.000000e+00 0.000000
40 2599 1.4955 1.108284e+09 1.0223 0 9.868098e+10 1 1.917185e+06 0.000431
40 2600 1.4955 1.577846e+09 0.8466 0 1.153651e+11 1 3.470200e+06 0.002497
40 2601 1.4955 3.816566e+09 0.0000 0 1.063522e+11 1 5.095319e+06 0.000000
40 2602 1.4955 3.101869e+09 0.6539 0 8.673890e+10 1 4.164691e+06 0.000625
40 2603 1.4955 4.323968e+09 0.4965 0 8.411232e+10 1 1.004856e+07 0.010609
40 2606 1.4955 6.093300e+09 0.0038 0 3.632162e+10 1 3.090465e+07 0.000051
40 2607 1.4955 2.650009e+09 0.1714 0 5.927457e+10 1 1.023213e+07 0.001983
40 2608 1.4955 5.031440e+09 0.1047 0 3.836982e+10 1 4.693741e+06 0.000325
40 2611 1.4955 1.134938e+09 0.1128 0 6.862769e+10 1 2.065990e+06 0.000526
40 2612 1.4955 1.166662e+09 0.4246 0 5.818683e+10 1 2.211598e+06 0.000888
40 2613 1.4955 5.826793e+09 0.3425 0 1.723176e+10 1 0.000000e+00 0.000000
40 2616 1.4955 5.364299e+09 0.0000 0 6.495996e+09 1 0.000000e+00 0.000000
40 2624 1.4955 2.883806e+09 0.0000 0 1.576298e+10 1 0.000000e+00 0.000000
40 2627 1.4955 3.752112e+09 0.0000 0 4.450223e+09 1 0.000000e+00 0.000000
40 2628 1.4955 2.887364e+09 0.0000 0 1.079469e+10 1 0.000000e+00 0.000000
40 2632 1.4955 2.958319e+09 0.0000 0 4.096938e+09 1 0.000000e+00 0.000000
40 2638 1.4955 2.689177e+09 0.0000 0 3.415233e+09 1 0.000000e+00 0.000000
40 2641 1.4955 2.934735e+09 0.0000 0 3.623515e+09 1 0.000000e+00 0.000000
40 2642 1.4955 2.761406e+09 0.2570 0 3.552213e+09 1 0.000000e+00 0.000000
40 2643 1.4955 2.490981e+09 0.0000 0 3.034860e+09 1 0.000000e+00 0.000000
40 2644 1.4955 1.297256e+09 5.7311 0 4.001351e+09 1 0.000000e+00 0.000000
40 2645 1.4955 1.771817e+09 0.0000 0 7.687594e+09 1 0.000000e+00 0.000000
40 2647 1.4955 2.141417e+09 0.0000 0 2.648356e+09 1 0.000000e+00 0.000000
40 2651 1.4955 1.767006e+09 0.0000 0 3.824660e+09 1 0.000000e+00 0.000000
40 2652 1.4955 2.068954e+09 0.0000 0 2.657929e+09 1 0.000000e+00 0.000000
40 2653 1.4955 1.197616e+09 5.8892 0 3.224774e+09 1 0.000000e+00 0.000000
40 2657 1.4955 1.328761e+09 2.2005 0 2.781021e+09 1 0.000000e+00 0.000000
40 2670 1.4955 1.545144e+09 0.0000 0 2.118385e+09 1 0.000000e+00 0.000000
40 2680 1.4955 1.428802e+09 0.0000 0 1.808393e+09 1 0.000000e+00 0.000000
40 2682 1.4955 1.509693e+09 0.0000 0 1.876261e+09 1 0.000000e+00 0.000000
40 2685 1.4955 1.132062e+09 0.8460 0 1.934946e+09 1 0.000000e+00 0.000000
40 2702 1.4955 1.032400e+09 0.0000 0 1.188494e+09 1 0.000000e+00 0.000000
40 4966 1.4955 6.127476e+11 5.1680 1 5.354736e+13 2 3.894319e+09 0.150791
40 4967 1.4955 6.607324e+10 0.0628 0 2.410466e+12 2 4.964695e+08 0.001464
40 4968 1.4955 4.330839e+10 0.0000 0 8.158778e+11 2 3.761405e+08 0.000068
40 4969 1.4955 2.022731e+10 0.0000 0 4.826241e+11 2 3.029625e+08 0.000292
40 4970 1.4955 4.750532e+10 0.0024 0 3.197138e+11 2 3.122020e+08 0.001318
40 4971 1.4955 3.430251e+10 42.9967 0 2.911338e+11 2 6.286956e+07 0.039153
40 4972 1.4955 2.335523e+10 8.1994 0 2.361729e+11 2 1.444908e+08 0.083122
40 4973 1.4955 4.584289e+10 0.0000 0 1.687594e+11 2 4.902290e+08 0.000014
40 4974 1.4955 2.498187e+10 0.0000 0 1.678162e+11 2 1.775262e+08 0.000002
40 4975 1.4955 2.833658e+10 0.0000 0 6.039066e+10 2 4.193468e+08 0.014069
40 4976 1.4955 1.375367e+10 1.0905 0 1.695374e+11 2 5.773408e+07 0.011556
40 4977 1.4955 1.125179e+10 0.7522 0 1.772638e+11 2 4.953898e+07 0.013855
40 4978 1.4955 8.059396e+09 0.9316 0 1.856629e+11 2 3.181873e+07 0.006547
40 4979 1.4955 2.220884e+10 0.0000 0 6.609475e+10 2 2.011287e+08 0.000006
40 4980 1.4955 1.294594e+10 0.5168 0 1.457739e+11 2 7.146182e+07 0.004960
40 4981 1.4955 1.312083e+10 1.0558 0 1.104338e+11 2 5.544683e+07 0.006650
